,Headlines,Date,Open,High,Low,Close,Adj Close
128,Privacy concerns caused the computerized eyewear to fail with the general public. But researchers believe it could help autistic children learn to recognize emotion and make eye contact.,2019-07-17,1604.0,1639.400024,1598.880005,1638.01001,1638.01001
129,Very little escapes scrutiny from witty online commentators.,2018-11-22,1604.0,1639.400024,1598.880005,1638.01001,1638.01001
130,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",2016-10-02,1604.0,1639.400024,1598.880005,1638.01001,1638.01001
131,"Rami Malek struts his stuff as Freddie Mercury, and Idris Elba narrates an immersive wildlife documentary about Africa.",2019-07-06,1604.0,1639.400024,1598.880005,1638.01001,1638.01001
132,"Amazon appears to be leaning toward opening a new office in New York. Now word comes that Google, already a big employer in the city, may add on.",2018-11-07,1673.0,1759.22998,1664.079956,1755.4899899999998,1755.4899899999998
133,Trump imposes new tariffs.,2019-08-01,1673.0,1759.22998,1664.079956,1755.4899899999998,1755.4899899999998
134,"In an online post, the chief executive of Amazon said the tabloid’s owner had used “extortion and blackmail” to try to stop his investigation into leaked photos and text messages.",2019-02-07,1625.0,1625.540039,1592.910034,1614.369995,1614.369995
135,A crime drama starring Carla Gugino airs on Cinemax and the second season of the animated series featuring Retsuko the Red Panda returns to Netflix.,2019-06-14,1625.0,1625.540039,1592.910034,1614.369995,1614.369995
136,Gabriel Iglesias stars in a new Netflix series. And Paul Dano’s directorial debut airs on Showtime.,2019-06-21,1625.0,1625.540039,1592.910034,1614.369995,1614.369995
137,A documentary about a drag festival premieres on HBO. And “Captain Marvel” is on Amazon.,2019-06-18,1625.0,1625.540039,1592.910034,1614.369995,1614.369995
138,"John Carpenter’s 1980 movie, which hinges more on suspense than on gore, has been newly restored and is showing at the Metrograph.",2018-10-24,1773.699951,1777.709961,1656.560059,1664.199951,1664.199951
139,Here’s what you need to know at the end of the day.,2019-05-28,1773.699951,1777.709961,1656.560059,1664.199951,1664.199951
140,“The Marvelous Mrs. Maisel” returns to Amazon. And Michelle Obama speaks in an extensive interview on BET.,2018-12-05,1773.699951,1777.709961,1656.560059,1664.199951,1664.199951
