,Open,High,Low,Close,Headlines,Average Mean,Differential,Sentiment,Polarity
2016-10-11,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-12,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-13,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-14,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-15,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-16,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-17,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-18,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-19,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-20,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-21,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-22,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-23,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-24,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-25,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-26,717.200012,719.369995,712.539978,715.619995,"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",715.6199950000008,6.830016999999998,1,0.1
2016-10-27,831.23999,831.719971,815.429993,818.3599849999999,The creator of “Mad Men” has signed on for an eight-episode series for the streaming service.,716.6473949000008,16.28997800000002,0,-0.625
2016-10-28,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",717.2543950200009,14.880005000000097,0,-0.021875
2016-10-29,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",717.8613951400008,14.880005000000097,0,-0.021875
2016-10-30,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",718.4683952600009,14.880005000000097,0,-0.021875
2016-10-31,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",719.0753953800008,14.880005000000097,0,-0.021875
2016-11-01,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",719.6823955000009,14.880005000000097,0,-0.021875
2016-11-02,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",720.2893956200008,14.880005000000097,0,-0.021875
2016-11-03,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",720.8963957400009,14.880005000000097,0,-0.021875
2016-11-04,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",721.5033958600009,14.880005000000097,0,-0.021875
2016-11-05,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",722.1103959800009,14.880005000000097,0,-0.021875
2016-11-06,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",722.7173961000009,14.880005000000097,0,-0.021875
2016-11-07,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",723.324396220001,14.880005000000097,0,-0.021875
2016-11-08,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",723.9313963400009,14.880005000000097,0,-0.021875
2016-11-09,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",724.538396460001,14.880005000000097,0,-0.021875
2016-11-10,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",725.1453965800009,14.880005000000097,0,-0.021875
2016-11-11,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",725.752396700001,14.880005000000097,0,-0.021875
2016-11-12,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",726.3593968200009,14.880005000000097,0,-0.021875
2016-11-13,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",726.966396940001,14.880005000000097,0,-0.021875
2016-11-14,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",727.573397060001,14.880005000000097,0,-0.021875
2016-11-15,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",728.180397180001,14.880005000000097,0,-0.021875
2016-11-16,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",728.787397300001,14.880005000000097,0,-0.021875
2016-11-17,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",729.394397420001,14.880005000000097,0,-0.021875
2016-11-18,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",730.0013975400011,14.880005000000097,0,-0.021875
2016-11-19,782.0,789.48999,774.6099849999999,776.320007,"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",730.6083976600011,14.880005000000097,0,-0.021875
